question,answer
Cheating is something unacceptable for me but because we have two daughters I decided not to break up the family However now I am struggling to forget and forgive what happened I feel like I cannot trust him Without trust I cannot stay in this relationship On the other hand I do not want my children to get hurt Im not sure how to move forward, First of all my heart goes out to you Infidelity is an extremely challenging obstacle to overcome There are some things that you should consider First of all did he seem truly remorseful If you felt in his heart that he was truly sorry for what he had done it will give you a piece of mind that it was a  mistake   Secondly was he forthcoming with this information How about with answering your questions after the truth was uncovered If you found that he was still lying or not forthcoming the sting is even more painful He should be able to answer any question you have honestly and without hesitation  Thirdly has he shown a positive difference after this experience At this time he should still be proving his faithfulness to the marriage you and the children  Keep in mind that experiencing infidelity is a form of grief It is not a quick process that can easily be overcome What you are experiencing is 100 normal   My best suggestion would be to see a marriage therapist Find out what drove your husband to cheat in the first place and decide if this aspect in his life has been resolved I know its important for you to keep your family together but children can sense anger and frustration this is not a healthy environment either If you decide that you can no longer remain in the relationship a therapist will also be able to help you cope with the separation along with addressing your childrens needs  Please know that you are not alone and that unfortunately many relationships have endured this very thing It may also be helpful to reach out to people who have experienced similar obstacles The web is a great resource to find groups whether online or in person to use as a support or sounding board  Best of luck to you and your family 
I have a lot of issues going on right now First of all I have a lot of trouble sleeping at times while other nights I sleep too much and still feel quite tired Im also noticing increased irritability and experiencing anxiety attacks that last for hours Is there something wrong with me and if so what should I do, It sounds as if you may be experiencing a bout of anxiety andor depression Sleeping difficulties irritability and anxiety attacks all are correlated with these mood disorders And its actually quite common for someone to deal encounter this during their lifetime   Also keep in mind that just because you are experiencing this now does not mean that you will be dealing with it the rest of your life Many times it can be a single episode and if treatment is received you can help prevent any recurrent episodes  However you may want to first talk with your primary physician to rule out any medical issues that could be causing these problems There may be a reason for the sudden onset of these symptoms that can be addressed quickly   On the other hand if it is determined that you are experiencing anxiety andor depression without a medical reason there are two methods that are very helpful in your treatment  b1 Talk therapy with a certified therapistb  HeShe will be able to address the concerns youre experiencing and discovering if there is an underlying issue that may be causing it  b2 Medicationb  There are many medications that can assist you with the feelings that you are experiencing Your doctor will be able to help you find the right one that works for you If one doesnt work keep trying There are many different options to address your specific needs  Also a combination of these two options is extremely beneficial  Thank you for your question I sincerely hope that you feel better soon 
I have no sex drive due to medical issues Ive shut down completely and closed everyone out Ive even told my husband that I wanted a divorce since thats what I thought he wanted to hear However it devastated me when I learned hes seeing someone else  Ive since told him that I wanted to work things out but hes not sure I actually mean it He thinks the only reason I want him back is because Im jealous  How do I show him Im serious, Im sorry to hear about your current situation My heart goes out to you during this time  First of all it is of vital importance that you discuss your symptoms with your doctor Regardless of whether you are able to mend your relationship with your husband you need to address the physical issues you are experiencing More than likely heshe will be able to help you relieve some of these symptoms  Secondly you must be upfront and honest with your husband Intimacy is a large part of a relationship and it is unfair to your husband that you did not disclose how you were feeling I think he would appreciate knowing that it was your medical problems causing the lack of sexual desire as opposed to the reason being him  If you explain to him that you are addressing your sexual issues with your doctor in order to enhance your relationship he may be more willing to see that you are serious in wanting to mend the relationship   The conversation will be hard to explain to your doctor and your husband since it is of such a personal nature but it will be extremely beneficial And please note that the reason for the feelings you were experiencing or lack thereof was not your fault  Best of luck to you and your husband 
I have a lot of issues going on right now First of all I have a lot of trouble sleeping at times while other nights I sleep too much and still feel quite tired Im also noticing increased irritability and experiencing anxiety attacks that last for hours Is there something wrong with me and if so what should I do, Hi there I have to commend you on reaching out to get some answers on why you are feeling the way that you are feeling A lot of people secretly go about their lives every day feeling this way because they are too afraid of what the answer might be  First off what stressors do you have in your life right now Financial relationship and unemployment are all common stressors for people They can often make it difficult for us to sleep at night due to the constant racing thoughts and wonders of how you will deal with it all   Secondly do you have a history of depression or does depression run in your family Some of the symptoms listed here in this question ie trouble sleeping constant fatigue too much sleep anger amp anxiety are all common symptoms of depression Often times these symptoms can be overlooked and mistaken for 34just being tired34   Furthermore its important to ask yourself if you are feeling worthless problems with concentration and recurrent thoughts of death If you are having these symptoms please seek help IMMEDIATELY   Lastly considering your stated symptoms I would recommend reaching out to your Doctor for further consult Its always better to be safe and the earlier you catch the symptoms the faster you will get to feeling better  do Some helpful tips for the your Doctor would be to monitor your sleep habits ie how much or little are you sleeping make a list of your triggers for your anger outbursts as well as your triggers for your anxiety attacks   I hope this was helpful and the best of luck to you 
The last of my emotions belong to my pets Today my dad said he might get rid of them tomorrow If that does happen I might dig hole in the ground with a paper that says here lays my emotions RIP I practically have no emotions left and I came to the realization about this not being normal by comparing my reaction to certain situations to my familys Whats wrong with me, It sounds to me like you have had a lot going on and now you are afraid you are going to lose the last things you care about your pets  I do not know what all is going on in your family and I cannot answer for your dads actions or his reasoning behind this  I would recommend that you focus on developing healthy coping skills  We cannot change what others do but we can change how what they do affects us  If you have all of your emotions and all of yourself tied up into one thing like your pets then when that thing is taken away it causes a lot of emotional distress  It is really good to have a wide variety of interests such as friends hobbies games etc  Develop other things that you care about and are passionate about  Another reason for developing healthy coping skills to deal with whatever might be going on in your life is if you dont have healthy ones you may develop some very unhealthy ones  You have to cope somehow right  Developing unhealthy ways of coping with life is only going to make life more difficult for you  I dont know if this is what it is like for you at your house but there are two kinds of household environments that can cause dysfunction in children One is when you grow up in a very rigid stern household where all decisions are made for you and you feel like you have no control over anything The other is a household where things were chaotic and you never knew what was going to happen next and had no stability People need to have some stability in their lives and need to feel in control over some things in order to feel safe  Both of these environments can lead you to develop some unhealthy ways of coping with life  Please talk to a trusted adult about your feelings before it gets any worse 
Me and my girlfriend just broke up She said she loves me but is not in love anymore This came out of nowhere We seemed so happy together It all started when she went to Missouri to visit her family The first week she was there she was fine then once she went to this one sisters house everything changed Thats when she told me she loved me but was not in love with me anymore I thought maybe it was just because she missed her family and she just wanted to be home because she told me that she could not leave them again Then she told me to come to her in Missouri So thats what I did I quit my job I dropped everything said goodbye to my family in Florida and drove 15 straight hours to be with her Once I got there everything was fine again  She apologized for everything and said she didnt mean any of it then we were good for about a week Then she went back to saying she didnt love me anymore and had no feelings for me The only thing that really gets me and makes me not want to accept this is that now she is pregnant This wasnt an accident We were trying to get pregnant so all this is hard to accept I love her so much I have never been bad to her Ive treated her the best I can I wanted her to be my wife I was going to propose to her when she got back Now Im losing my family and my mind I dont know what to do, I am sorry to hear of these troubles  I see a few issues here  I wonder why you were both trying to get pregnant when the relationship seemed troubled  Some people think that they can fix a broken relationship by getting pregnant and all this does is bring up more problems  You say you never treated her badly and I believe you  People in a relationship can still be unhappy even when there is no abuse or mistreatment going on  In fact giving too much of yourself to the relationship and not having a self outside of this relationship can be unhealthy  It takes two whole healthy happy people who are that way when they are single to come together to make a whole healthy happy couple in a relationship  Expecting your partner to meet all your needs or to provide your happiness is not going to work  There are two books that I recommend you buy and read  One is Codependent No More  The other is Can My Relationship Be Saved  Sometimes when you cling and try even harder to hold onto someone it makes you both miserable  You cannot change her and cannot change her mind  Sometimes the best thing is to let go  If it is meant to be you will end up back together again  It seems like this is something that she needs to decide since she is the one that keeps doing the leaving  I suggest backing off and letting her go  Maybe she needs time to clear her head and make up her mind  If it is meant to be she will come back If not use this time to work on being a healthy happy you on your own 
Now I have anger and trust issues How can I treat this and fix myself, I will assume that for whatever reason you either do not want to or are not able to seek counseling for this  However I highly urge you to do so because longterm childhood abuse does have negative consequences for your life as an adult as it seems you are already aware   There are confidential and free crisis hotlines that you can call that deal with sexual abuse  Somemost also offer free counseling services in local areas  That would be a good place to start looking especially if cost of counseling is an issue  The important thing to know is that what happened was not your fault and that you deserve to live a happy life free of the past  Having anger and trust issues after something like this is a perfectly normal reaction to what happened to you  Angry  Yes At your brother for what he did at your parents for not protecting you  Having trouble trusting  Of course  The very people who were supposed to love and protect you hurt you instead Two books that might help you are Codependent No More and Boundaries Where You End and I Begin 
Ive never been able to talk with my parents My parents are in their sixties while I am a teenager I love both of them but not their personalities I feel that they do not take me seriously whenever I talk about a serious event in my life If my dad doesnt believe me then my mom goes along with my dad and acts like she doesnt believe me either Im a pansexual but I cant trust my own parents  Ive fought depression and won however stress and anxiety are killing me I feel that my friends dont listen to me I know they have their own problems which I do my best to help with But they dont always try to help me with mine when I really need them I feel as if my childhood has been taken from me I feel as if I have no one whom I can trust, Hi there Being 15 years old can be a very difficult time in your teenage life I remember when I was 15 and how I often felt my parents werent listening to me Its even more difficult when you feel that you do not have a friend that you can confide in   Having depression in the past and being able to get through it shows me that you can get through anything Depression alone is a very difficult problem to work through In addition to the communication problem with your parents it appears that you are also struggling with stress and anxiety We all have stress and anxiety in our lives If we didnt none of us would be living Anxiety amp stress keep us on our toes Often I have to remind myself of this as well However it is how we manage stress and anxiety so it will not overcome our lives   Are you familiar with relaxation techniques such as deep breathing exercises meditation or yoga Relaxation Techniques can help you tremendously in reducing your stress and anxiety   Deep breathing exercises are helpful when you are on the go such as school shopping out with friends or whatever extracurricular activities you engage in  Most people do not take full advantage of their lung capacity I know that sounds silly But its true You would be surprised how much air you lungs can hold Imagine being in the Doctors office and taking deep breaths This is what you want to do when you are feeling overwhelmed andor stressed Take a moment to take in at least 10 deep breaths and let them out slowly You will be surprised how well you feel afterwards   Meditation and Yoga are also healthy forms to working through stress and anxiety You will need a quiet place for your meditation You want to be in the moment and take in the peace and serenity All it takes is a quiet place closing your eyes and thinking of your happy place Some people use meditation music as well If you have access to this type of music and or the internet for more ways to practice meditation please go for it   Yoga on the other hand will take a little more work and practice I would not suggest you learning this on your own if you have never attempted yoga before Find an experienced Yoga instructor to teach you the ropes andor ask your school counselor about the possibility of getting someone to come to the school to teach the students   Lastly in regards to your parents it is very important to be able to have a relationship where you feel comfortable communicating I would recommend writing a letter to them if you are unable to express how you feel in person A letter is more intimate and requires a little more effort on their end If they are open on working on this relationship maybe suggest family counseling to fully work on this issue   I hope this was helpful for you and I wish you the best  
I have been with this guy on and off for 8 years At first we used to do things together and our sex life was ok Then things started to change wed break up and reconnect and he cheated on me numerous times  Weve also had two beautiful baby girls during this time Now we argue and he says I am not affectionate at all or I dont know how to please a man when I work parttime take care of a 2 year old and a 5 month old and cook Sometimes he cooks but he also spends a lot of time on the internet In addition I have 2 boys and he has 1 son I feel somewhere I have lost something Its not that I dont care I truly love this guy but Im just tired of being the one who is always being judged Please I am in need of a Christian counselor to help us because I really need to speak to someone, I dont think youve lost something I think youve found something  your breaking point and its about time Your boyfriend seems to be a very selfish and immature man who reconnects with you when its convenient for him Obviously he has his own issues but I want to address yours I agree you need to talk to someone The fact that youve put up with his repeated cheating and then letting him blame you for it by saying youre not affectionate enough etc tells me you probably have low selfesteem and have likely told yourself over the years that you dont deserve any better You do You may truly love this guy but based on his behaviors he does not love you not in the way you deserve  And although you may want to believe he can change he has proved over and over again that hes not willing to so you need to do what is best for you and your children What would you tell your daughters if someone was treating them this way Would you want your sons to treat women this way Thats what youre teaching your children when they see this  Like I said I agree that you should talk to someone You can ask your boyfriend to go too but my guess is he wont Even if he does you should still see someone individually to work on YOU I understand its not easy to just kick him out especially since you have children together but a counselor can help you talk through all the details while helping you raise your selfesteem and selfworth 
My son claims that hes been having extremely violent thoughts and dreams Not violent like hes hurting someone but violent thoughts like horrible things happening to his loved ones He explained one of his dreams the other day and it was so violent it was sickening It was far beyond anything in a horror movie he says he cant help these thoughts they just pop up Please help, Let me start my stating this is important to take seriously  taking to his PCP getting a referral to a pediatric specialist and getting him to a relational psychotherapist would be my first tasks   I wont label this occurrences as 34normal34 yet it is important to note these things do occur My first observation is to say that it is a tremendous advantage that your son is communicating what he is experiencing Id encourage him to continue to do so no matter the extent of his thoughts  his trust of you being able the handle his experience is of utmost importance His containment and sense of security is also dependent on your reaction to what he shares Seek professional help communicating your support including a plan of action and reassuring him you will figure this out together will help you as you begin  
Whenever I leave my girlfriend I get panic attacks Im taking medications to control them but Im thinking of moving in with her since I get so anxious, spanIm sorry to hear that you are currently experiencing panic attacks I hope that the medication you have been prescribed has provided you with some relief Unfortunately I dont feel that moving in with your girlfriend would alleviate your anxiety Although you may feel very anxious about leaving her your body is reacting to this stressful event in your life in an unhealthy manner You may be able to render this particular situation but its likely that you may experience another panic attack when an additional stressful event arises span  Therefore it is essential that you address the reason for why you are experiencing panic attacks in the first place followed by practicing coping mechanisms in the case that one would arise in the future  Talk therapy has shown to be effective with those affected by anxiety along with breathing exercises and yoga A trained therapist will be able to assist you in finding the right stress reducing method so that you can reduce the chance of another attack occurring  I wish you the best of luck It sounds like you are very happy in your relationship and I hope you are able to reduce your anxiety so that you are able to enjoy one another 
I need to get on base to see my doctor My ID card was in my wallet which was stolen Im unable to reach my husband at this time He is only one who can take me on base in order to get a new ID so I can continue to see doctor Is there anything I can do, Do you have any other form of identification The first place to stop would be the Visitors Center or whichever department issues passes They are located outside of the gate so you do not need a military ID to enter If you have another form of identification its possible that they can give you a pass in order to go and obtain a new military ID   If you do not you could always ask someone else to sponsor you on a friend coworker etc that have military access Depending on the threat level they may not need your ID as long as you are with someone that has access Keep in mind that currently 61115 all military bases are on Bravo which unfortunately means you will need your own ID  Finally if all else fails call your doctor and explain your situation Im sure they would be more than willing to discuss your options  Also its important to make sure that you report your wallet being stolen if you havent already Security Forces on base can help you with this and to ensure your ID doesnt get into the wrong hands   Good luck 
Ive known my boyfriend for several years We were friends for a long time In 2013 we started a relationship and he even asked me to move in with him since I lived out of state I planned to move in with him in 2014 after I finished school and he found a job However during this time we had a few arguments and broke up with each other for a short period of time We decided later to make it work Shortly after I found out that I was pregnant I wanted to tell him during his next visit However he never came to see me and instead asked me for money After I gave him money he quit answering my phone calls and texts     Soon after I experienced a miscarriage I texted him about what had happened and he didnt seem to care I was extremely hurt by this I still decided to move back as I had originally planned He helped me with the move and replaced the money I had lent him During this time I asked if he wanted to be in this relationship because I needed to know Although he says he did I hardly ever see him He never got a job which was in the original plan      After that we both started seeing other people for a short amount of time but once again got back together Once we got back together I cut all ties with the former relationship I had been in I thought he had too But I found out that he did not attempt to do as I did and was still talking with another woman In fact he had even sent inappropriate pictures to her When I confronted him about this he wasnt apologetic He said that he only did it to get even with me and was actually mad at me for looking through his phone He even closed his car window on my finger and tried to throw me out of his car I dont know what to do,olol There are plenty of red flags that you have been presented with olliSeveral breakups lilispanNot holding up his end of the bargain regarding workspanlilispanLack of empathy for your miscarriagespanlilispanLying about his involvement with another womanspanlilispanPhysical violence which is of most concern spanliol This seems to be a very unhealthy relationship In my experience relationships such as these rarely become positive ones Violence is never okay and regardless of his reasoning you looking through his phone it is indefensible You have to look at these red flags and ask yourself Is this really someone I want to marry Is he an asset to my life I think youll realize he is not  Best of luck to you and please know that you deserve someone who treats you with kindness dignity and respect 
I am going through a divorce from a narcissistic sociopath who left me for another woman after mentally and emotionally abusing me for 11 years I have moved to a different state and after giving up my successful business am working as a server at a restaurant Im coping as best as I can Is it normal and healthy to not adapt as quickly and be as strong as I think I should be I am astounded at his cruelty and how much he doesnt care as well as most other people in my life I feel like I dont exist to anyone anymore as there is no contact from anyone who I thought cared about me My brother just said no to lending me a few hundred dollars for me to live on I am losing faith in humanity itself, I am very sorry to hear of your struggles  I think that it is normal to struggle to get your feet under you again after a divorce especially after leaving a relationship that lasted 11 years so try not to be too hard on yourself  Take it one day at a time and do the best you can  I notice that you said he left you  This tells me that you didnt have the strength to leave him on your own despite the fact that you say he was emotionally and mentally abusive and also cheating on you  Low selfesteem can keep someone in a bad relationship because they think they cant do any better  Also abusers will make you think that they are the best thing you can get  The way I see it he did you a favor   You are now free to make your own life whatever you want it to be   Take this time alone to work on you  As hurtful as it may be that other people dont want to help you this is something that you need to do for yourself without feeling like you need someone in your life to take care of you  Your statement I dont feel like I exist anymore tells me that in addition to low selfesteem you also dont have a clear sense of identify and rely on the people in your life to help define who you are  People can and will let you down  It is important for you to learn to handle disappointment learn to take care of your own needs and to gain a stronger sense of self   Do nice things for yourself every day because you deserve it  Even if it is just to soak a little longer in a hot bubble bath do something that makes you feel good  Find a hobby that you enjoy  Look in the mirror and tell yourself some positive affirmations daily  Google positive affirmations to find some that resonate with you  Such statements might be I am a good person who deserves to be happy or I can do this  Some relaxation and meditation exercises may help you as well  There are some free meditation exercises that you can find online by doing a simple Google search  Take this time to focus on you and try not to worry about what everyone else in your life is doing  When you are a happier more stable person the right people will come into your life without you even looking for them  Good luck with rebuilding your life  I know it is hard  Remember to take it one day at a time 
